DEPTH,CKH,CPOR,DT,GR,DT4P,DT4S,DTC,DTCO,DTSM,DTST,NPHI,PHIE,RHOB,PSW,RT,RXO,SW,TEMP,VCL,VDOL,VLIM
,,,,,,,,,,,,,,,,,,,,,
3589.8,-999.25,-999.25,-999.25,65.869,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.225,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3590.3,-999.25,-999.25,-999.25,65.985,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.192,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3590.8,-999.25,-999.25,-999.25,64.76,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.183,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3591.3,-999.25,-999.25,-999.25,60.766,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.195,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3591.8,-999.25,-999.25,76.554,60.192,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.212,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3592.3,-999.25,-999.25,78.988,60.749,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.181,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3592.8,-999.25,-999.25,80.755,61.195,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.182,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3593.3,-999.25,-999.25,85.902,64.316,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.204,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3593.8,-999.25,-999.25,89.895,63.323,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.224,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3594.3,-999.25,-999.25,85.806,63.529,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.288,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3594.8,-999.25,-999.25,83.245,68.323,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.342,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
