DEPTH,CKH,CPOR,DT,GR,DT4P,DT4S,DTC,DTCO,DTSM,DTST,NPHI,PHIE,RHOB,PSW,RT,RXO,SW,TEMP,VCL,VDOL,VLIM
6206.2,-999.25,-999.25,-999.25,38.173,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,28.07,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6206.7,-999.25,-999.25,-999.25,38.173,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,28.07,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6207.2,-999.25,-999.25,-999.25,35.812,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,28.07,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6207.7,-999.25,-999.25,-999.25,31.396,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,28.01,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6208.2,-999.25,-999.25,-999.25,30.528,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,31.02,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6208.7,-999.25,-999.25,-999.25,32.417,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,31.46,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6209.2,-999.25,-999.25,-999.25,38.085,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,31.87,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6209.7,-999.25,-999.25,-999.25,38.085,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,32.45,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6210.2,-999.25,-999.25,-999.25,37.613,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,34.97,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6210.7,-999.25,-999.25,-999.25,34.093,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,36.84,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6211.2,-999.25,-999.25,-999.25,33.159,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,35.36,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6211.7,-999.25,-999.25,-999.25,29.617,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,36.33,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6212.2,-999.25,-999.25,-999.25,31.774,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,36.17,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6212.7,-999.25,-999.25,-999.25,40.5,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,35.89,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6213.2,-999.25,-999.25,-999.25,44.75,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,34.42,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6213.7,-999.25,-999.25,-999.25,45.573,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,31.59,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6214.2,-999.25,-999.25,-999.25,41.323,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,30.59,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6214.7,-999.25,-999.25,-999.25,41.531,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,29.99,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6215.2,-999.25,-999.25,-999.25,46.011,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,36.08,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6215.7,-999.25,-999.25,-999.25,47.664,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,36.11,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6216.2,-999.25,-999.25,-999.25,52.651,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,37.11,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6216.7,-999.25,-999.25,-999.25,54.897,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,33.33,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6217.2,-999.25,-999.25,-999.25,58.675,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,33.41,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6217.7,-999.25,-999.25,-999.25,59.383,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,33.4,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6218.2,-999.25,-999.25,-999.25,59.405,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,34.76,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6218.7,-999.25,-999.25,-999.25,53.974,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,37.22,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6219.2,-999.25,-999.25,-999.25,49.724,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,35.72,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6219.7,-999.25,-999.25,-999.25,45.405,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,38.56,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6220.2,-999.25,-999.25,-999.25,47.766,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,40.98,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6220.7,-999.25,-999.25,-999.25,53.886,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,43.66,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6221.2,-999.25,-999.25,-999.25,57.935,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,39.73,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6221.7,-999.25,-999.25,-999.25,56.518,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,39.32,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6222.2,-999.25,-999.25,-999.25,53.273,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,36.96,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6222.7,-999.25,-999.25,-999.25,44.9,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,34.87,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
