DEPTH,CKH,CPOR,DT,DTSM,GR,NPHI,PHIE,RHOB,RT,RXO,SW,TEMP,VCL,VDOL,VLIM
-418.08,-999.25,-999.25,-999.25,-999.25,5.69,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-417.58,-999.25,-999.25,-999.25,-999.25,5.108,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-417.08,-999.25,-999.25,-999.25,-999.25,5.013,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-416.58,-999.25,-999.25,-999.25,-999.25,4.685,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-416.08,-999.25,-999.25,-999.25,-999.25,4.187,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-415.58,-999.25,-999.25,-999.25,-999.25,4.474,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-415.08,-999.25,-999.25,-999.25,-999.25,5.434,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-414.58,-999.25,-999.25,-999.25,-999.25,6.004,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-414.08,-999.25,-999.25,-999.25,-999.25,5.918,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-413.58,-999.25,-999.25,-999.25,-999.25,5.972,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-413.08,-999.25,-999.25,-999.25,-999.25,7.101,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-412.58,-999.25,-999.25,-999.25,-999.25,8.749,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-412.08,-999.25,-999.25,-999.25,-999.25,9.202,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-411.58,-999.25,-999.25,-999.25,-999.25,8.625,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-411.08,-999.25,-999.25,-999.25,-999.25,8.451,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
